image_url,description,country,weather,time_of_day,season,activity,mood
https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Dom_of_the_Rock-10.JPG/1200px-Dom_of_the_Rock-10.JPG?20140318164950,a clear image of the dome of the rock in jerusalem showcasing its iconic golden dome it is one of the most important islamic and historical landmarks in palestine,Palestine,Sunny,Afternoon,Summer,sightseeing,Nostalgia
https://upload.wikimedia.org/wikipedia/commons/e/eb/Cave_of_the_Patriarchs%2C_Hebron_2007.jpg,a clear image of the ibrahimi mosque cave of the patriarchs in hebron one of the oldest and most significant religious and historical sites in palestine,Palestine,Sunny,Morning,Spring,sightseeing,Curiosity
https://upload.wikimedia.org/wikipedia/commons/3/3c/Ruins_by_Seabastia_06.jpg,a clear image of the ancient ruins in sebastia near nablus showing stone columns and archaeological remains from the roman period under a bright blue sky,Palestine,Sunny,Afternoon,Summer,exploring,Adventure
https://upload.wikimedia.org/wikipedia/commons/0/02/2012%D8%AF%D9%8A%D8%B1_%D9%85%D8%A7%D8%B1%D8%B3%D8%A7%D8%A8%D8%A7.jpg,a clear image of mar saba monastery in bethlehem built dramatically along the cliffside of the desert valley showcasing its ancient stone architecture,Palestine,Sunny,Afternoon,Summer,sightseeing,Awe
https://upload.wikimedia.org/wikipedia/commons/c/cf/Ziko.jpg,a clear aerial view of tell es sultan in jericho showing the archaeological mound excavation areas and surrounding desert landscape,Palestine,Sunny,Morning,Spring,exploring,Curiosity
https://upload.wikimedia.org/wikipedia/commons/b/b0/Eiffel_Tower_in_Paris_on_19_July_2024_02.jpg,a night view of the eiffel tower illuminated in golden lights against a dark blue sky highlighting its detailed iron structure from a low angle perspective,France,Not Clear (night lighting),Afternoon,Not Clear,sightseeing,Romance
https://upload.wikimedia.org/wikipedia/commons/f/fa/Great_Wall_of_China_July_2006.JPG,a bright and clear view of the great wall of china stretching across lush green mountains under a blue sky with scattered white clouds,China,Sunny,Morning,Summer,hiking,Adventure
https://upload.wikimedia.org/wikipedia/commons/1/12/Restaurant_at_sunset%2C_Fira%2C_Santorini%2C_Greece_%28approx._GPS_location%29_julesvernex2.jpg,a beautiful sunset view in santorini greece showing cliffside caf s overlooking the sea and islands with soft pastel colors in the sky,Greece,Clear,Evening,Summer,relaxing,Happiness
https://upload.wikimedia.org/wikipedia/commons/5/5f/Manhattan_from_Weehawken%2C_NJ.jpg,a stunning nighttime panorama of new york city s skyline with illuminated skyscrapers reflecting beautifully on the water,USA,Clear,Evening,Winter,sightseeing,Excitement
https://upload.wikimedia.org/wikipedia/commons/9/91/Eriyadu_Island._View_from_the_west._Maldives.jpg,a bright and peaceful beach view in the maldives showing crystal clear turquoise water white sand and lush tropical trees with a wooden walkway leading to the island,Maldives,Sunny,Afternoon,Summer,relaxing,Happiness
https://images.unsplash.com/photo-1478436127897-769e1b3f0f36,walking through the endless vermilion torii gates of fushimi inari shrine,Japan,Sunny,Morning,Spring,hiking,Nostalgia
https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff,white buildings with blue domes overlooking the calm aegean sea,Greece,Sunny,Afternoon,Summer,relaxing,Happiness
https://images.unsplash.com/photo-1526392060635-9d6019884377,the ancient incan citadel set high in the andes mountains,Peru,Cloudy,Morning,Not Clear,sightseeing,Adventure
https://images.unsplash.com/photo-1533632359083-018577794406,the turquoise waters of moraine lake surrounded by snowy peaks,Canada,Sunny,Afternoon,Summer,hiking,Excitement
https://images.unsplash.com/photo-1516426122078-c23e76319801,elephants walking through the tall grass of the savanna,Tanzania,Sunny,Afternoon,Fall,sightseeing,Curiosity
https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9,the bright neon lights and crowds of times square,USA,Not Clear,Evening,Winter,sightseeing,Excitement
https://images.unsplash.com/photo-1582967788606-a171f1080ca8,vibrant coral reefs teeming with underwater life,Australia,Sunny,Morning,Summer,swimming,Curiosity
https://images.unsplash.com/photo-1531366936337-7c912a4589a7,green aurora borealis dancing over a snowy landscape,Iceland,Snowy,Evening,Winter,relaxing,Melancholy
https://images.unsplash.com/photo-1579606329066-50a1036f0436,the famous treasury carved into the red sandstone rock face,Jordan,Sunny,Afternoon,Spring,hiking,Adventure
https://images.unsplash.com/photo-1533423996375-f914d5e7178a,colorful houses stacked on the steep cliffs of positano,Italy,Sunny,Afternoon,Summer,relaxing,Romance
https://www.outlooktravelmag.com/media/south-africa-1-1582299337.profileImage.2x-scaled-webp.webp,a town between a huge mountaine and ocean on the other side looks like a good place,south africa,sunny,morning,summer,hiking,adventure
"https://res.cloudinary.com/aenetworks/image/upload/c_fill,ar_2,w_3840,h_1920,g_auto/dpr_auto/f_auto/q_auto:eco/v1/gettyimages-1390815938?_a=BAVAZGID0",buildings and some skyscrapers turned on with a mountiane in the background with snow on top like the culture and game tournament,japan,not clear,evning,fall,relaxing,romance
https://pohcdn.com/sites/default/files/styles/paragraph__live_banner__lb_image__1880bp/public/live_banner/Sweden-1.jpg,some house with mountain in the background and green aura lights in the sky the aura lines in the sky is one of the best things in this world,sweden,no clear,evning ,winter,relaxing,Excitement
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9bprw-Kd46LCxt-3XWWGfLe_phMzXNWO4zQ&s,4 pyramids 3 in the back and one small in front of them the last of the seven wonders worth a visit,eygpt,sunny,morning,spring,sightseeing,Nostalgia
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSojue3TLjdQe0vaytwcHgCvSrm4M1oPjCYyg&s,tow big building built with red stone with 1800 style have some good places to visit and i think i will enjoy it,russia,cloudy,afternoon,fall,sightseeing,Happiness
https://lp-cms-production.imgix.net/2025-03/shutterstock2237761883.jpg?auto=compress&format=auto&fit=crop&q=50&w=1200&h=800,small town with snow over the house roofs love the nature and the country have a lot of it,romania,snowy,evning,winter ,hiking,Excitement
https://www.renewablematter.eu/assets/Uploads/grande/envatoelements.jpg,mill in the middle of field and a river running throw the mill best place to forget everything and connect with nature,netherlands,cloudy,afternoon,fall,relaxing,adventure
https://www.ilxtravel.com/wp-content/uploads/2024/09/Eiffel-Tower-France.webp,a tall tower in the shape of a i have all my bestfriends in this place,france,sunny,evning,spring,sightseeing,Romance
https://inoldcities.com/wp-content/uploads/2025/08/fresh-snow-in-hallstatt.jpg,snowy lakeside village that brings inner peace to the visitor,Austria,cloudy,afternoon,winter,relaxing,melancholy
https://hoiandaytrip.com/wp-content/uploads/2024/11/hoi-an-by-night.jpg,lantern lit city at night with warm colors,Vietnam,not clear,evening,spring,boat tour,romance
