ID,description,country,weather,time_of_day,season,activity,mood
2,"A clear image of the Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
3,"a clear image of the Ibrahimi Mosque (Cave of the Patriarchs) in Hebron, one of the oldest and most significant religious and historical sites in Palestine.",Palestine,Sunny,Morning,Spring,Sightseeing,Curiosity
4,"A clear image of the ancient ruins in Sebastia near Nablus, showing stone columns and archaeological remains from the Roman period under a bright blue sky.",Palestine,Sunny,Afternoon,Summer,Exploring,Adventure
5,"A clear image of Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Curiosity
6,"A clear aerial view of Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape.",Palestine,Sunny,Morning,Spring,Exploring,Curiosity
7,"A night view of the Eiffel Tower illuminated in golden lights against a dark blue sky, highlighting its detailed iron structure from a low-angle perspective.",France,Not Clear,Afternoon,Not Clear,Sightseeing,Romance
8,A bright and clear view of the Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds.,China,Sunny,Morning,Summer,Hiking,Adventure
9,"A beautiful sunset view in Santorini, Greece, showing cliffside cafés overlooking the sea and islands, with soft pastel colors in the sky.",Greece,Sunny,Evening,Summer,Relaxing,Happiness
10,"A stunning nighttime panorama of New York Citys skyline, with illuminated skyscrapers reflecting beautifully on the water.",USA,Sunny,Evening,Winter,Sightseeing,Excitement
11,"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
12,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,Hiking,Nostalgia
13,White buildings with blue domes overlooking the calm Aegean Sea.,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
14,The ancient Incan citadel set high in the Andes Mountains.,Peru,Cloudy,Morning,Not Clear,Sightseeing,Adventure
15,Elephants walking through the tall grass of the savanna.,Tanzania,Sunny,Afternoon,Fall,Sightseeing,Curiosity
16,The bright neon lights and crowds of Times Square.,USA,Not Clear,Evening,Winter,Sightseeing,Excitement
17,Green aurora borealis dancing over a snowy landscape.,Iceland,Snowy,Evening,Winter,Relaxing,Melancholy
18,"a small town on top of a cliff with sea view, the place looks clam and the people seems kind",Italy,Sunny,Afternoon,Spring,Eating,Excitement
19,"a town between a huge mountaine and ocean on the other side, looks like a good place",South Africa,Sunny,Morning,Summer,Hiking,Adventure
20,"buildings and some skyscrapers turned on with a mountiane in the background with snow on top, like the culture and game tournament",Japan,Not Clear,Evening,Fall,Relaxing,Romance
21,"some house with mountain in the background and green aura lights in the sky, the aura lines in the sky is one of the best things in this world",Sweden,Not Clear,Evening,Winter,Relaxing,Excitement
22,"a town with house and split with river and cant see the end of the town because of the fog, one of the best places if u like cars which I do",Germany,Cloudy,Afternoon,Winter,Other,Happiness
23,"4 pyramids 3 in the back and one small in front of them,  the last of the seven wonders worth a visit",Egypt,Sunny,Morning,Spring,Sightseeing,Nostalgia
24,"tow big building built with red stone with 1800 style, have some good places to visit and I think I will enjoy it",Russia,Cloudy,Afternoon,Fall,Sightseeing,Happiness
